 '..\MST32\generated(1000,6000).gr' ;17,4213;13,3652;14,7794;15,3836;14,678;14,2141;14,5521;14,7272;14,0964;14,8787
 '..\MST32\generated(5000,30000).gr' ;29,8353;28,1631;26,9865;26,583;27,3306;25,4822;27,5446;26,8514;27,3582;25,0757
 '..\MST32\generated(10000,60000).gr' ;32,0973;29,1328;29,5813;30,2305;29,438;28,244;30,677;30,3913;29,526;29,4697
 '..\MST32\generated(50000,300000).gr' ;49,2288;48,0717;46,5653;47,9334;47,2884;47,9754;48,896;47,1081;46,6412;51,1386
 '..\MST32\generated(100000,600000).gr' ;77,4769;81,023;80,512;79,0671;80,3052;82,644;83,4918;81,6343;80,7526;76,5379
 '..\MST32\generated(500000,3000000).gr' ;240,803;248,942;243,529;236,526;244,304;244,957;246,035;249,533;247,645;247,072
 '..\MST32\generated(1000000,6000000).gr' ;467,529;447,548;462,981;470,433;466,79;462,753;467,48;453,916;452,41;462,214
 '..\MST32\generated(2000000,12000000).gr' ;904,19;908,873;912,217;899,727;905,961;901,083;910,474;903,389;908,235;905,643
 '..\MST\USA-road-d.1NY.gr\USA-road-d.NY.gr' ;74,9804;55,4158;54,8465;57,8868;54,4205;55,721;54,1;57,9348;55,8674;57,2416
 '..\MST\USA-road-d.2BAY.gr\USA-road-d.BAY.gr' ;57,5652;53,0084;56,6927;59,0141;58,6967;54,7113;55,2591;56,2934;54,8936;58,9251
 '..\MST\USA-road-d.3COL.gr\USA-road-d.COL.gr' ;67,6444;61,9735;62,3913;63,4993;64,3655;62,7395;64,6861;65,6097;64,2529;66,7699
 '..\MST\USA-road-d.4FLA.gr' ;102,417;105,587;103,49;100,888;104,713;101,722;102,493;104,289;98,7884;104,35
 '..\MST\USA-road-d.5NW.gr' ;104,277;104,302;98,858;100,94;98,2354;103,225;103,389;101,18;101,527;97,5667
 '..\MST\USA-road-d.6NE.gr\USA-road-d.NE.gr' ;118,537;117,733;116,722;116,852;118,015;115,188;121,298;113,787;114,445;121,966
 '..\MST\USA-road-d.7CAL.gr\USA-road-d.CAL.gr' ;135,406;139,457;135,689;133,234;135,276;133,421;131,683;138,045;137,341;145,065
 '..\MST\USA-road-d.8LKS.gr\USA-road-d.LKS.gr' ;176,774;166,187;168,855;166,067;167,449;174,619;172,283;177,41;169,429;173,854
 '..\MST\USA-road-d.9E.gr\USA-road-d.E.gr' ;199,878;201,086;207,275;206,407;201,469;201,359;203,265;208,18;210,443;202,51
